post_title,post_view,comment_num,post_url,post_date,post_time,post_author
云南白药和华为AI合作几年了，有研究出啥成果吗？不会啥都没有吧？？？？,28,0,"https://guba.eastmoney.com/news,000538,1525674060.html",2025-03-09,18:08,骑扬善贾柯镇恶
的AI医疗，给白药喝口汤不？,33,0,"https://guba.eastmoney.com/news,000538,1525670487.html",2025-03-09,17:17,春天韭菜又涨起来了
云南白药本周融资净偿还1060.87万元，居中药板块第五,26,0,"https://guba.eastmoney.com/news,000538,1525657870.html",2025-03-09,15:04,大眼看两融
要是没清空小米的股票，白药又可以神气一点了，陈发树一定暗暗的在发牢骚,80,0,"https://guba.eastmoney.com/news,000538,1525657122.html",2025-03-09,14:58,懵懵懂懂的老黄
白药赚的还不够海油赔的，只有熬时间了！,136,0,"https://guba.eastmoney.com/news,000538,1525653572.html",2025-03-09,13:53,稳中求聖
周一涨停,203,4,"https://guba.eastmoney.com/news,000538,1525634570.html",2025-03-09,09:07,股友v5X2705391
AI中药啥时候能爆发一下,123,0,"https://guba.eastmoney.com/news,000538,1525631353.html",2025-03-09,08:10,春天韭菜又涨起来了
大家猜猜这位人格分裂的老兄心中的执念会是什么？,361,0,"https://guba.eastmoney.com/news,000538,1525628938.html",2025-03-09,07:02,股友27e39n2017
没有预报？啥情况啊,192,0,"https://guba.eastmoney.com/news,000538,1525614726.html",2025-03-08,21:55,春天韭菜又涨起来了
白药涨不起来的原因1：没有处在炒作风口，对盘外的资金没有吸虹效应。原因2，前几年,565,1,"https://guba.eastmoney.com/news,000538,1525609571.html",2025-03-08,20:39,股友3YtWuh
老妹，啥时候和华为也签一个战略协议怎么样？,236,1,"https://guba.eastmoney.com/news,000538,1525608101.html",2025-03-08,20:16,信则不念
这种票半死不活的，浪费了大好行情，只能当存银行了,161,0,"https://guba.eastmoney.com/news,000538,1525589208.html",2025-03-08,15:20,叫我孙大圣
股息率那么高，业绩那么稳健，有什么好担心的,199,2,"https://guba.eastmoney.com/news,000538,1525576957.html",2025-03-08,12:11,股友EL4uA57849
老铁们，你们都多少的成本？参考一下,424,8,"https://guba.eastmoney.com/news,000538,1525567201.html",2025-03-08,10:14,春天韭菜又涨起来了
感觉差不多了要慢慢建仓了,174,1,"https://guba.eastmoney.com/news,000538,1525567130.html",2025-03-08,10:13,春天韭菜又涨起来了
宝贝们，不开心的日子要过去啦，周末开开心心去玩，放下股票，放下执念，这才是大A股,587,2,"https://guba.eastmoney.com/news,000538,1525565451.html",2025-03-08,09:54,股友QISA0S
宝贝们，困难时暂时的，很快就要公布年报啦，公布年报之时也是选择方向的时候，伤脑筋,224,1,"https://guba.eastmoney.com/news,000538,1525564054.html",2025-03-08,09:38,股友QISA0S
有没有还在65.89的站岗的股友，大家一起聚一聚，你们还好吗？千年等一回……西湖,231,3,"https://guba.eastmoney.com/news,000538,1525559282.html",2025-03-08,08:42,蟠龙冲哥
白药跟华为有关系吗？？？,198,2,"https://guba.eastmoney.com/news,000538,1525555675.html",2025-03-08,08:03,淡漠安然哥2480
公道自在人心，有数据就有真相。,338,3,"https://guba.eastmoney.com/news,000538,1525537308.html",2025-03-07,23:59,股友QISA0S
不要再自欺欺人了，各位股神们,204,0,"https://guba.eastmoney.com/news,000538,1525519267.html",2025-03-07,21:50,股友SR2hRR
转发,193,0,"https://guba.eastmoney.com/news,000538,1525516162.html",2025-03-07,21:31,股友27e39n2017
转发,268,2,"https://guba.eastmoney.com/news,000538,1525514933.html",2025-03-07,21:23,股友27e39n2017
转发,214,1,"https://guba.eastmoney.com/news,000538,1525514795.html",2025-03-07,21:22,股友27e39n2017
目标价,198,1,"https://guba.eastmoney.com/news,000538,1525505809.html",2025-03-07,20:34,骑着蜗牛追黑马
