post_id,comment_content,comment_like,comment_date,comment_time,sub_comment
75,图片评论,1,2025-03-03,13:12,0
75,有图有真相谢谢大佬发图！,0,2025-03-03,13:52,1
75,筹码集中在41到47之间， 30左右到基本是多年不动的，不必担心,0,2025-03-03,09:28,0
75,33-36买了很多，,0,2025-03-01,11:25,0
75,30 左右,0,2025-03-01,02:26,0
76,还好等一等，等再下来点可以捡漏了,0,2025-03-03,10:21,0
76,0.50元,0,2025-02-28,23:41,0
77,右上角举报色情低俗,0,2025-03-02,20:22,0
77,逆势下跌的时候干啥去了，分析一下逆势下跌咋回事,1,2025-03-02,07:00,0
77,看来新产业科技股才有未来，传统行业有点难,0,2025-03-01,19:20,0
77,研报一出，寸草不生……,0,2025-02-28,21:54,0
77,没有跌到位，筹码也不够啊,0,2025-03-01,17:50,1
77,感觉下周要补跌,0,2025-03-01,03:00,1
77,这个票快4年没有涨停过，没有涨停基因,2,2025-02-28,21:42,0
77,去年9月底那会涨停过,0,2025-03-01,11:06,1
77,一个,0,2025-03-01,08:46,1
78,你牛,0,2025-02-28,14:35,0
85,完犊子 。。。还是高兴的太早了,0,2025-02-28,14:15,0
85,额 兄弟们 我又回来啦~今天这个T我是没想到的 哈哈哈,0,2025-02-28,13:42,0
85,你亏那仨瓜俩枣我少吃两顿饭也给你发红包,0,2025-02-28,10:32,0
87,指数看空，不用多想。布局超跌破净，高换手绩优票算了。,0,2025-03-04,10:32,0
90,我也清仓了,0,2025-02-28,10:18,0
90,是的，拉高这是他跌下来，没有突破高点，跑是对的,0,2025-02-28,10:12,0
90,没事能赚就很满足，留下来的兄弟继续大赚,0,2025-02-28,09:57,0
90,去年科技，今年轮到食品饮料行业大涨了,0,2025-02-28,09:52,0
90,要开始涨停了,0,2025-02-28,09:51,0
90,你卖的早了点，启动阶段,0,2025-02-28,09:42,0
94,你被低估了,0,2025-02-28,12:15,0
96,想多了。,0,2025-02-27,23:42,0
96,网宿科技有大利好，股东陈宝珍出尔反尔，发了减持公告，结果到期一股没卖，后期看涨，现在买入就是捡钱,0,2025-02-27,23:43,1
96,买了多少科技啊，到处找人接盘，科技都飞那么高了哪个会去接盘,0,2025-02-27,23:39,0
96,网宿科技有大利好，股东陈宝珍出尔反尔，发了减持公告，结果到期一股没卖，后期看涨，现在买入就是捡钱,0,2025-02-27,23:41,1
96,明天大概率你要被找到了,0,2025-02-27,22:17,0
96,网宿科技有大利好，股东陈宝珍出尔反尔，发了减持公告，结果到期一股没卖，后期看涨，现在买入就是捡钱,0,2025-02-27,22:43,1
96,涨停个屁，管住你自己的嘴吧,0,2025-02-27,20:50,0
96,有种明天别买,0,2025-02-27,20:54,1
97,哪来的双标，别被忽悠了。,0,2025-02-28,12:18,0
97,有请辛吉飞出来唱空它,0,2025-02-28,10:18,0
