post_title,post_view,comment_num,post_url,post_date,post_time,post_author
谨慎购买保利发展！保利就相当于你跟渣男渣女谈恋爱，你好好品品！还指望着主力给你抬,77,0,"https://guba.eastmoney.com/news,600048,1525701443.html",2025-03-09,23:20,我要吃肉跑
明天房地产板块首当其冲跳空高开高走不回头了。,115,1,"https://guba.eastmoney.com/news,600048,1525695684.html",2025-03-09,22:20,QSLS
感觉要上了。,129,1,"https://guba.eastmoney.com/news,600048,1525690911.html",2025-03-09,21:32,瞄了没打着
等保利15元，就去把这个院子盖了,193,4,"https://guba.eastmoney.com/news,600048,1525688326.html",2025-03-09,21:05,保利本十一
第一步，先看到10元，振荡2～3个月，再看看。,106,0,"https://guba.eastmoney.com/news,600048,1525688076.html",2025-03-09,21:02,多财万贯de燕十三
高于3米…,1154,3,"https://guba.eastmoney.com/news,000002,1525684534.html",2025-03-09,20:22,老豆说
大家怎么看？,224,3,"https://guba.eastmoney.com/news,600048,1525678152.html",2025-03-09,19:04,保利本十一
从保利这几天盘中走势看应该有一拔上涨，短期目标位9.4元左右，立帖为证，就在下周,235,3,"https://guba.eastmoney.com/news,600048,1525677123.html",2025-03-09,18:51,香椿籽
利好不断，你们说明天它会涨还是继续跌？,156,2,"https://guba.eastmoney.com/news,600048,1525676385.html",2025-03-09,18:41,保利本十一
永远记住我说的话，对你有好处！！！,157,0,"https://guba.eastmoney.com/news,600048,1525676072.html",2025-03-09,18:36,有心就会到达
地产股应该明天有所表现！,141,1,"https://guba.eastmoney.com/news,600048,1525674503.html",2025-03-09,18:13,股友ZHglEK
住房和城乡建设部部长倪虹表示，2000年以前建成的老旧小区，全部纳入城市更新改造,141,0,"https://guba.eastmoney.com/news,600048,1525669330.html",2025-03-09,17:02,双子座菜鸟
还是那几句屁话我就放心了,127,0,"https://guba.eastmoney.com/news,600048,1525665670.html",2025-03-09,16:16,斗志昂扬的罗汉松
坚决执行稳住楼市,479,6,"https://guba.eastmoney.com/news,600606,1525665604.html",2025-03-09,16:15,绿地高升
地产利好继续【刚刚住建部：2000年以前建成的城市老旧小区都要纳入城市更新改造范,394,4,"https://guba.eastmoney.com/news,600048,1525663056.html",2025-03-09,15:37,股友umA2nU
资讯上市公司套保业务最高赚上百亿元，金融衍生品工具如何为企业创造价值？,5221,15,"https://guba.eastmoney.com/news,300999,1525661667.html",2025-03-09,15:17,金龙鱼资讯
保利发展本周融资净买入2094.92万元，居房地产开发板块第四,57,0,"https://guba.eastmoney.com/news,600048,1525660496.html",2025-03-09,15:09,大眼看两融
