post_id,comment_content,comment_like,comment_date,comment_time,sub_comment
913,慢涨的票才值得持有，爆炒后的票都是一地鸡毛,0,2025-02-28,23:24,0
917,阁下你是卖出就唱空，买进就积极唱多。,1,2025-02-28,22:01,0
917,P人 满嘴都是P,1,2025-02-28,21:55,0
917,这大哥之前可是说浪潮业绩爆雷，现在又删帖了。哈哈,1,2025-02-28,21:33,0
917,那时候他还没买呢，着急，不得编点消息，吓唬大家卖出,0,2025-02-28,22:08,1
917,什么意思？,0,2025-02-28,21:28,0
918,市值缩小4倍你说的就是真的,0,2025-02-28,21:45,0
920,不是吹票放心拿，巨轮智能前段时间也不小作文咔咔涨，吹票小作文多才是到头的迹象,0,2025-02-28,21:06,0
921,不是只有拉升才能吸引散户,0,2025-03-01,17:54,0
921,这个市场让骗子有了充分发挥的空间,0,2025-03-01,17:37,0
921,机构的对手是散户，这是在忽悠散户站岗了,2,2025-03-01,17:17,0
921,不要相信任何机构,0,2025-03-01,11:54,0
921,19等你,0,2025-03-01,10:16,0
921,我等18,0,2025-03-01,16:26,1
921,下周快跑，机构在忽悠接盘出货,0,2025-03-01,08:21,0
921,垃圾机构看好的票抓紧跑,0,2025-03-01,07:52,0
921,砸盘狗队天天发利好,1,2025-03-01,00:08,0
921,每次发这种垃圾新闻，看样子还得跌一段时间,0,2025-02-28,23:36,0
921,怎么越利好越跌的凶？,0,2025-02-28,23:18,0
921,机构和散户对立的，散户赚钱机构就亏，你觉得机构发利好是给你抬轿子让你赚钱他亏？,0,2025-03-01,17:24,1
921,人不做，非得跌成狗。,0,2025-02-28,22:38,0
921,工业富联真不配跟那些股票列在一起,0,2025-02-28,22:27,0
921,……,0,2025-02-28,22:27,0
921,如此好的赛道，如此好的业绩，竟然跌成狗！,2,2025-02-28,22:08,0
921,没睡醒吗？,0,2025-02-28,21:53,0
921,都跌成狗了，还在这里卖力推荐？！,1,2025-02-28,21:49,0
921,开盘大跌盘后大好,1,2025-02-28,21:34,0
921,跌成什么样了，心里没点13数？,2,2025-02-28,21:31,0
921,咋的是货还没出完么，捧小脚的作文又来了,2,2025-02-28,21:16,0
921,老大英伟达盘前又杀跌了,0,2025-02-28,21:10,0
921,严打小作文,0,2025-02-28,20:48,0
921,接着骗？,0,2025-02-28,20:43,0
921,吧！能写出这种违心研报，良心何在？,1,2025-02-28,20:41,0
921,半夜鸡叫，黄鼠狼给鸡拜年,1,2025-02-28,20:40,0
931,位置近期太高国家队和基金进不了场，这不就下来了，这种大屁股国家队还是很喜欢的,0,2025-02-28,21:03,0
931,"调整大单上车，北京 2025年2月28日 /美通社/ -- 日前，《服务器操作系统迁移指南》（以下简称《指南》）经中国电子工业标准化技术协会批准后正式发布，将于3月正式实施。《指南》由浪潮信息牵头，中国电子技术标准化研究院、阿里云、统信软件等20家业内知名机构及企业共同起草，适用于服务器操作系统（简称""操作系统""）在同CPU或跨CPU架构服务器间迁移、同一操作系统升级、不同发行版操作系统迁移等场景，为用户进行系统迁移操作提供...",0,2025-02-28,20:56,0
931,别怕，500万满仓都不哆嗦下,2,2025-02-28,19:12,0
931,好啥20-30才能接，远离,0,2025-02-28,19:10,0
931,一样，别以为盘子大就是好,0,2025-02-28,19:09,0
931,不要瞎说，今天只是跟板块保持同步而已,1,2025-02-28,19:05,0
932,s 2波1,0,2025-02-28,18:58,0
937,两个的区别是，上次是放量下跌和这次是缩量下跌，还有一点希望的,0,2025-02-28,18:07,0
938,买了点,0,2025-03-03,11:34,0
938,老师好，好久不见，老师的票必须关注,1,2025-02-28,19:10,0
938,老粉可参考下，本人今年坚决只做这一只票,0,2025-02-28,17:45,0
