post_title,post_view,comment_num,post_url,post_date,post_time,post_author
平均价39元亏钱的多,17,0,"https://guba.eastmoney.com/news,002463,1525664977.html",2025-03-09,16:06,股友11085kY950
沪电股份本周融资净买入5465.7万元，居电子元件板块第十,82,0,"https://guba.eastmoney.com/news,002463,1525660744.html",2025-03-09,15:09,大眼看两融
"沪电早于大盘下调.待大盘回调时,沪电就有可能往上爬坡.短线不要做沪电了.",58,0,"https://guba.eastmoney.com/news,002463,1525656832.html",2025-03-09,14:53,股友taFbb3
看周线图，上涨大趋势已经结束，高位盘整就是大资金不断出货的过程，期间的震荡当然也,190,3,"https://guba.eastmoney.com/news,002463,1525655776.html",2025-03-09,14:32,腰缠十万罐
跌落神坛了,67,1,"https://guba.eastmoney.com/news,002463,1525655416.html",2025-03-09,14:26,有干劲的院长
23年25买的，套了一路加仓，快半年才出去只要算力还需要沪电肯定还有机会，只是短,95,0,"https://guba.eastmoney.com/news,002463,1525654753.html",2025-03-09,14:14,深情的赵婉
马上分红了，不知道有没有一波反弹,214,4,"https://guba.eastmoney.com/news,002463,1525644598.html",2025-03-09,11:18,能不能不要欺负人
还得跌，趋势到这边。那么多好票。,277,10,"https://guba.eastmoney.com/news,002463,1525638947.html",2025-03-09,10:17,股友ea98665711
"大家看看60天周线都守不住,上次跌破是2022年,要抄底的兄弟至少要等周线稳定在",141,1,"https://guba.eastmoney.com/news,002463,1525638400.html",2025-03-09,10:09,牛牛牛359
股价回到去年四月，一年业绩增七成，投资者颗粒无收！,224,2,"https://guba.eastmoney.com/news,002463,1525631981.html",2025-03-09,08:22,股友HuWMgj
自甘堕落了,159,1,"https://guba.eastmoney.com/news,002463,1525627767.html",2025-03-09,05:57,进取的游睿博
下周如再大幅下跌，我会再次买入。看你如何表演？,239,1,"https://guba.eastmoney.com/news,002463,1525622834.html",2025-03-09,00:12,虎豹之斑点与条纹
有人昨天唱空是为了捡便宜，便宜捡到一些了，还太少，还会继续唱空做空,211,0,"https://guba.eastmoney.com/news,002463,1525619402.html",2025-03-08,23:06,n5877134192797881262
什么研报呀，明显的下降出货阶段,192,0,"https://guba.eastmoney.com/news,002463,1525619099.html",2025-03-08,23:01,股友yO07367998
看了下评论区，真是符合跌了找利空、涨了就找利好,197,0,"https://guba.eastmoney.com/news,002463,1525614238.html",2025-03-08,21:47,LoyalGarm
[图片],210,0,"https://guba.eastmoney.com/news,002463,1525613604.html",2025-03-08,21:37,zl18679157721
各方面都很优秀，这么大跌是啥情况？胜宏科技都创新高了，你上个缺口没补，又来一个，,205,0,"https://guba.eastmoney.com/news,002463,1525613344.html",2025-03-08,21:33,只投资未来
这个股业绩不错，低吸可以持有，而且这个位置，性价比超高,195,0,"https://guba.eastmoney.com/news,002463,1525613093.html",2025-03-08,21:29,股友26F823Z897
英伟达上涨了2%,240,1,"https://guba.eastmoney.com/news,002463,1525612455.html",2025-03-08,21:20,zl18679157721
沪电是pcb最拉的一个，产品没深南有竞争力，胜宏也能蹭上机器人，幸亏我持仓深南和,586,8,"https://guba.eastmoney.com/news,002463,1525611836.html",2025-03-08,21:11,不吃章鱼不NB
楠梓电子持有沪电股份。据2025年1月23日消息，楠梓电(2316.TW)公告其,408,1,"https://guba.eastmoney.com/news,002463,1525606315.html",2025-03-08,19:48,永远是一抹红
绝对抄底护垫！,232,1,"https://guba.eastmoney.com/news,002463,1525604460.html",2025-03-08,19:16,股友zM6cd1
一旦回调，就是两年之久，你们能忍吗,405,10,"https://guba.eastmoney.com/news,002463,1525602558.html",2025-03-08,18:44,时间的玫瑰发发
散户看盘就行了。为什么一个个搞清楚挺累的。据说，不是我说，机构们对胜宏25年利润,476,3,"https://guba.eastmoney.com/news,002463,1525598254.html",2025-03-08,17:34,坚毅de兔八哥
计划下周到37，卖出三分之一,197,1,"https://guba.eastmoney.com/news,002463,1525594868.html",2025-03-08,16:40,一棵树999
涨回去得百分之五十，有希望吗？,155,0,"https://guba.eastmoney.com/news,002463,1525592946.html",2025-03-08,16:12,股友8w8610117W
好多割肉的呀，感觉要涨了，因为我一割就涨，不知道你们是不是,232,2,"https://guba.eastmoney.com/news,002463,1525592748.html",2025-03-08,16:09,终极目标回本啊
如果英伟达，值70元，那么沪电最终是什么结局,163,0,"https://guba.eastmoney.com/news,002463,1525592438.html",2025-03-08,16:05,股友GUj6ts
有没有发现，公司1月23日发业绩预告，当日，二股东发减持,374,2,"https://guba.eastmoney.com/news,002463,1525590024.html",2025-03-08,15:31,一蓑烟雨41
减持结束了吗？懂秘怎么还没发消息？,163,0,"https://guba.eastmoney.com/news,002463,1525582651.html",2025-03-08,13:39,一蓑烟雨41
技术看这个票，下周如果有反弹也依旧是卖出机会,627,0,"https://guba.eastmoney.com/news,002463,1525580226.html",2025-03-08,13:02,平静的海9888
留个爪,147,0,"https://guba.eastmoney.com/news,002463,1525579825.html",2025-03-08,12:56,股友79w0T09790
空狗无聊，竟拿董事长的高龄叫空！坚信沪电是错杀的好股！,160,0,"https://guba.eastmoney.com/news,002463,1525574400.html",2025-03-08,11:37,n677313398099636
沪电董事长是现任年龄最大的女董事长！今天是女神节，祝老掌柜节日快乐！哈哈＋哈哈,184,0,"https://guba.eastmoney.com/news,002463,1525572372.html",2025-03-08,11:13,哈哈a哈哈
楠梓电子减持12000万股，难怪大跌,821,8,"https://guba.eastmoney.com/news,002463,1525572273.html",2025-03-08,11:12,一蓑烟雨41
2024/9/24牛市启动，创业板指数涨了50%。电子元件板块平均涨幅接近60%,430,0,"https://guba.eastmoney.com/news,002463,1525569884.html",2025-03-08,10:45,坚毅de兔八哥
有多大雷？己跌去百分之四十？,1335,7,"https://guba.eastmoney.com/news,002463,1525567739.html",2025-03-08,10:20,股友8w8610117W
喷子们呢，本人32介入34.6出完全部,171,0,"https://guba.eastmoney.com/news,002463,1525567102.html",2025-03-08,10:13,徒手追牛
40.5的本钱入了5000亏大了。周五止损。哪怕你再十个涨停板，劳资看也不看一眼,307,3,"https://guba.eastmoney.com/news,002463,1525566909.html",2025-03-08,10:11,基民Q2050a6709
沪电绝对股份，市值尽然低于深南了！,159,0,"https://guba.eastmoney.com/news,002463,1525565980.html",2025-03-08,10:01,股友zM6cd1
周一抓紧跑,161,0,"https://guba.eastmoney.com/news,002463,1525563154.html",2025-03-08,09:26,有礼貌的海如杰13
我周五止损了，周五止损的兄弟们多吗,359,12,"https://guba.eastmoney.com/news,002463,1525562828.html",2025-03-08,09:22,风控为王010FYB
成本42.66，昨天尾盘全割了，血亏8万，29接你回家,530,42,"https://guba.eastmoney.com/news,002463,1525560694.html",2025-03-08,08:58,勤辰林森
沪电的工资这么低啊！,349,5,"https://guba.eastmoney.com/news,002463,1525556035.html",2025-03-08,08:08,我就是有钱
这股和易中天的走势一样,161,0,"https://guba.eastmoney.com/news,002463,1525555239.html",2025-03-08,07:56,一蓑烟雨41
放量大跌，机构所为，肯定有内幕！,185,0,"https://guba.eastmoney.com/news,002463,1525549406.html",2025-03-08,06:20,基民2701C683T9
英伟达股价下跌，GPU价格下跌，算力需求暴增，这几样指向同一个目标，GPU的pc,279,0,"https://guba.eastmoney.com/news,002463,1525547009.html",2025-03-08,05:06,爱吃韮菜的雄狮
我觉得周一还会吃面，毕竟跟跌不跟涨。,217,0,"https://guba.eastmoney.com/news,002463,1525545831.html",2025-03-08,03:58,股友k00889007l
以前都是牵着胜宏科技鼻子走。现在居然走的那么差劲,240,1,"https://guba.eastmoney.com/news,002463,1525543100.html",2025-03-08,02:02,招财貔貅吞金兽
都说复制英伟达,197,0,"https://guba.eastmoney.com/news,002463,1525543015.html",2025-03-08,01:59,时间的玫瑰发发
操盘手给了你们选择是33.37还是33.38，你们选了33.36，箱体震荡到你们,240,0,"https://guba.eastmoney.com/news,002463,1525542781.html",2025-03-08,01:50,福兰克
这个板块是不是除了什么问题，沪电，鹏鼎，东山精密走势一模一样，都是放量破位，大资,434,3,"https://guba.eastmoney.com/news,002463,1525539697.html",2025-03-08,00:35,股友387Q786k35
